year,all
2016,3.3
2017,3.1
1999,3.0
2000,2.9
2001,3.6
2002,3.7
2003,4.6
2004,3.7
2005,3.5
2006,3.6
2007,4.0
2008,4.9
2009,6.5
2010,6.2
2011,5.8
2012,5.1
2013,4.3
2014,4.2
2015,3.6
