year,all
1999,14.6
2000,14.6
2001,14.6
2002,15.8
2003,15.8
2004,15.8
2005,15.0
2006,15.0
2007,15.0
2008,15.4
2009,15.4
2010,15.4
2011,13.2
2012,13.2
2013,13.2
2014,17.6
2015,17.6
2016,17.6
