year,all
1999,11.8
2000,11.8
2001,11.8
2002,11.5
2003,11.5
2004,11.5
2005,12.8
2006,12.8
2007,12.8
2008,15.0
2009,15.0
2010,15.0
2011,17.4
2012,17.4
2013,17.4
2014,13.4
2015,13.4
2016,13.4
