year,all
2016,5.2
2017,4.9
1999,3.2
2000,2.3
2001,3.3
2002,4.3
2003,5.5
2004,4.9
2005,5.0
2006,4.3
2007,4.5
2008,5.7
2009,8.1
2010,9.2
2011,8.9
2012,8.4
2013,7.7
2014,6.6
2015,5.6
