year,all
1999,13.2
2000,13.2
2001,13.2
2002,11.8
2003,11.8
2004,11.8
2005,11.7
2006,11.7
2007,11.7
2008,12.6
2009,12.6
2010,12.6
2011,16.5
2012,16.5
2013,16.5
2014,18.3
2015,18.3
2016,18.3
