year,all
2016,4.9
2017,4.6
1999,4.6
2000,3.8
2001,4.2
2002,5.8
2003,5.9
2004,4.8
2005,4.4
2006,4.8
2007,4.2
2008,5.4
2009,9.1
2010,9.3
2011,9.4
2012,9.5
2013,8.2
2014,6.7
2015,5.8
