year,all
1999,6.7
2000,6.7
2001,6.7
2002,7.1
2003,7.1
2004,7.1
2005,8.0
2006,8.0
2007,8.0
2008,10.8
2009,10.8
2010,10.8
2011,10.6
2012,10.6
2013,10.6
2014,10.3
2015,10.3
2016,10.3
