year,all
2016,6.1
2017,5.2
1999,6.6
2000,5.5
2001,4.9
2002,6.1
2003,6.1
2004,5.3
2005,5.3
2006,5.1
2007,4.6
2008,4.4
2009,8
2010,9
2011,8.1
2012,7.4
2013,6.6
2014,6.6
2015,6.9
