year,Jamaica,Rural,KMA,Other Towns,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,Mother’s Education (15-19 years)None/Primary ,Mother’s Education (15-19 years)Secondary ,Mother’s Education (15-19 years)Tertiary
2008, 72,74,51,83,72,,,,,,,,,
2011, 70,67,73,70,70,106,118,72,59,16,3,177,66,87
