year,unit,value
2000,manuf_va_as_pctgdp,15.1
2001,manuf_va_as_pctgdp,13.9
2002,manuf_va_as_pctgdp,13.4
2003,manuf_va_as_pctgdp,13.3
2004,manuf_va_as_pctgdp,13.2
2005,manuf_va_as_pctgdp,13.0
2006,manuf_va_as_pctgdp,13.0
2007,manuf_va_as_pctgdp,12.8
2008,manuf_va_as_pctgdp,12.3
2009,manuf_va_as_pctgdp,12.0
2010,manuf_va_as_pctgdp,12.2
2011,manuf_va_as_pctgdp,12.3
2012,manuf_va_as_pctgdp,12.3
2013,manuf_va_as_pctgdp,12.2
2014,manuf_va_as_pctgdp,12.1
2015,manuf_va_as_pctgdp,12.0
2016,manuf_va_as_pctgdp,11.7
2000,manuf_va_percapita,5677.4
2001,manuf_va_percapita,5394.0
2002,manuf_va_percapita,5395.6
2003,manuf_va_percapita,5615.8
2004,manuf_va_percapita,5924.8
2005,manuf_va_percapita,6002.6
2006,manuf_va_percapita,6240.9
2007,manuf_va_percapita,6379.9
2008,manuf_va_percapita,6137.4
2009,manuf_va_percapita,5620.1
2010,manuf_va_percapita,5868.9
2011,manuf_va_percapita,5841.4
2012,manuf_va_percapita,5817.5
2013,manuf_va_percapita,5891.3
2014,manuf_va_percapita,5905.2
2015,manuf_va_percapita,5953.2
2016,manuf_va_percapita,5903.6
