year,unit,value
1999,crude_rate,4.4
2000,crude_rate,4.5
2001,crude_rate,4.9
2002,crude_rate,6.1
2003,crude_rate,6.7
2004,crude_rate,7.2
2005,crude_rate,8.0
2006,crude_rate,9.2
2007,crude_rate,9.9
2008,crude_rate,10.2
2009,crude_rate,10.4
2010,crude_rate,10.7
2011,crude_rate,11.6
2012,crude_rate,11.6
2013,crude_rate,12.3
2014,crude_rate,13.2
2015,crude_rate,14.8
1999,age_adjusted_rate,4.4
2000,age_adjusted_rate,4.5
2001,age_adjusted_rate,4.9
2002,age_adjusted_rate,6.1
2003,age_adjusted_rate,6.7
2004,age_adjusted_rate,7.2
2005,age_adjusted_rate,8.0
2006,age_adjusted_rate,9.2
2007,age_adjusted_rate,9.9
2008,age_adjusted_rate,10.2
2009,age_adjusted_rate,10.3
2010,age_adjusted_rate,10.6
2011,age_adjusted_rate,11.6
2012,age_adjusted_rate,11.5
2013,age_adjusted_rate,12.2
2014,age_adjusted_rate,13.1
2015,age_adjusted_rate,14.8
