year,unit,value
1999,crude_rate,606.6
2000,crude_rate,597.4
2001,crude_rate,586.2
2002,crude_rate,582.0
2003,crude_rate,572.2
2004,crude_rate,549.9
2005,crude_rate,548.7
2006,crude_rate,529.7
2007,crude_rate,520.6
2008,crude_rate,520.1
2009,crude_rate,506.7
2010,crude_rate,506.0
2011,crude_rate,504.7
2012,crude_rate,504.3
2013,crude_rate,508.1
2014,crude_rate,507.6
2015,crude_rate,517.3
1999,age_adjusted_rate,620.5
2000,age_adjusted_rate,608.5
2001,age_adjusted_rate,594.5
2002,age_adjusted_rate,586.5
2003,age_adjusted_rate,571.6
2004,age_adjusted_rate,545.9
2005,age_adjusted_rate,538.9
2006,age_adjusted_rate,514.6
2007,age_adjusted_rate,500.3
2008,age_adjusted_rate,494.0
2009,age_adjusted_rate,475.6
2010,age_adjusted_rate,470.0
2011,age_adjusted_rate,460.4
2012,age_adjusted_rate,452.2
2013,age_adjusted_rate,448.2
2014,age_adjusted_rate,441.3
2015,age_adjusted_rate,442.9
