year,all
2000,6.18
2001,5.37
2002,5.86
2003,6.07
2004,6.07
2005,6.21
2006,6.64
2007,6.41
2008,7.22
2009,8.04
2010,8.21
2011,9.18
2012,9.10
2013,9.34
2014,9.54
2015,9.51
