year,unit,value
1999,crude_rate,10.5
2000,crude_rate,10.4
2001,crude_rate,10.7
2002,crude_rate,11.0
2003,crude_rate,10.9
2004,crude_rate,11.1
2005,crude_rate,11.0
2006,crude_rate,11.2
2007,crude_rate,11.5
2008,crude_rate,11.8
2009,crude_rate,12.0
2010,crude_rate,12.4
2011,crude_rate,12.7
2012,crude_rate,12.9
2013,crude_rate,13.0
2014,crude_rate,13.4
2015,crude_rate,13.8
1999,age_adjusted_rate,10.5
2000,age_adjusted_rate,10.4
2001,age_adjusted_rate,10.7
2002,age_adjusted_rate,10.9
2003,age_adjusted_rate,10.8
2004,age_adjusted_rate,11.0
2005,age_adjusted_rate,10.9
2006,age_adjusted_rate,11.0
2007,age_adjusted_rate,11.3
2008,age_adjusted_rate,11.6
2009,age_adjusted_rate,11.8
2010,age_adjusted_rate,12.1
2011,age_adjusted_rate,12.3
2012,age_adjusted_rate,12.6
2013,age_adjusted_rate,12.6
2014,age_adjusted_rate,13.0
2015,age_adjusted_rate,13.3
