year,form,value
2000,,
2001,,
2002,,
2003,,
2004,,
2005,,
2006,,
2007,,
2008,,
2009,,
2010,,
2011,,
2012,,
2013,,
2014,,443
2015,,965
2016,,1234
2000,com_sex_acts,
2001,com_sex_acts,
2002,com_sex_acts,
2003,com_sex_acts,
2004,com_sex_acts,
2005,com_sex_acts,
2006,com_sex_acts,
2007,com_sex_acts,
2008,com_sex_acts,
2009,com_sex_acts,
2010,com_sex_acts,
2011,com_sex_acts,
2012,com_sex_acts,
2013,com_sex_acts,
2014,com_sex_acts,300
2015,com_sex_acts,744
2016,com_sex_acts,1051
2000,invol_serv,
2001,invol_serv,
2002,invol_serv,
2003,invol_serv,
2004,invol_serv,
2005,invol_serv,
2006,invol_serv,
2007,invol_serv,
2008,invol_serv,
2009,invol_serv,
2010,invol_serv,
2011,invol_serv,
2012,invol_serv,
2013,invol_serv,
2014,invol_serv,141
2015,invol_serv,219
2016,invol_serv,183
