year,Jamaica,KMA,Other Towns,Rural,Male,Female,Poorest,Second,Middle,Fourth,Wealthiest,0-4 years,5-9 years,10-19 years ,20-29 years,30-39 years,40-49 years,50-59 years,60-64 years,65+ years
2014, 17.7,31.1,14,10.3,16.4,19,3.6,6.7,9,20.2,38.8,13.4,14.1,12.1,15,22.7,19.4,24.3,25.1,21.4
2015, 18.9,31.1,18.3,11.3,17.7,20,3.7,7.1,11.7,23.2,40.3,12.5,13.3,12.9,18.5,20.7,21.8,28.3,19.6,24
