year,unit,value
2013,rev_rape_def,113695
2014,rev_rape_def,118027
2015,rev_rape_def,126134
2016,rev_rape_def,130603
2000,legacy_rape_def,90178
2001,legacy_rape_def,90863
2002,legacy_rape_def,95235
2003,legacy_rape_def,93883
2004,legacy_rape_def,95089
2005,legacy_rape_def,94347
2006,legacy_rape_def,94472
2007,legacy_rape_def,92160
2008,legacy_rape_def,90750
2009,legacy_rape_def,89241
2010,legacy_rape_def,85593
2011,legacy_rape_def,84175
2012,legacy_rape_def,85141
2013,legacy_rape_def,82109
2014,legacy_rape_def,84864
2015,legacy_rape_def,91261
2016,legacy_rape_def,95730
