year,all
1998,3.1
1999,3.5
2000,2.8
2001,-0.1
2002,0.8
2003,1.7
2004,2.6
2005,2.2
2006,1.7
2007,0.5
2008,-1.5
2009,-3.6
2010,1.3
2011,0.7
2012,1.2
2013,0.8
2014,1.7
2015,2.0
2016,0.8
