year, Indicator Component, Primary, Upper Secondary
2016/17,a,58.7,100
2016/17,b,69.8,100
2016/17,c,100,100
2016/17,d,13.3,25.9
2016/17,e,58.7,100
2016/17,f,58.7,100
2016/17,g,58.7,100
