year,Type,Jamaica,Rural,KMA,Other Towns,Male,Female,0-11 months,12-23 months,24-35 months,36-47 months,48-59 months
2012, wasting, 3,2.9,2.7,3.5,3,2.9,8,6,8,2.9,3.5
2012, overweight, 7.8,7.5,10.5,5.7,5.8,10.1,11.7,10.2,5.7,6.4,6.3
