year,all
2016,3.4
2017,2.8
1999,2.9
2000,3
2001,3.1
2002,3.6
2003,4.0
2004,3.8
2005,4.0
2006,3.1
2007,3.1
2008,3.3
2009,4.6
2010,4.8
2011,4.5
2012,4
2013,4.1
2014,3.3
2015,3
