year,all
1999,12.2
2000,12.2
2001,12.2
2002,10.8
2003,10.8
2004,10.8
2005,9.0
2006,9.0
2007,9.0
2008,16.1
2009,16.1
2010,16.1
2011,14.1
2012,14.1
2013,14.1
2014,12.0
2015,12.0
2016,12.0
