year,all
2016,4.9
2017,4.1
1999,3.9
2000,3.6
2001,4.8
2002,5.5
2003,5.1
2004,4.6
2005,3.6
2006,3.2
2007,4.1
2008,6.1
2009,10.4
2010,11.1
2011,10
2012,8.4
2013,7.1
2014,6.3
2015,5.4
