year,all
2016,3.9
2017,3.7
1999,4.5
2000,4.4
2001,5.1
2002,5.4
2003,6.2
2004,5.9
2005,5.1
2006,5.3
2007,5.6
2008,5.2
2009,7.8
2010,8.6
2011,8.6
2012,7.6
2013,7.8
2014,6
2015,5.2
