year,all
2016,3.9
2017,3.3
1999,4.1
2000,3.5
2001,4
2002,4.4
2003,5.1
2004,4.7
2005,5.0
2006,4.6
2007,4.7
2008,5.4
2009,8.1
2010,8.2
2011,8
2012,7.7
2013,6.8
2014,5.7
2015,4.4
