year,all
1999,11.8
2000,11.8
2001,11.8
2002,12.4
2003,12.4
2004,12.4
2005,10.2
2006,10.2
2007,10.2
2008,15.9
2009,15.9
2010,15.9
2011,15.0
2012,15.0
2013,15.0
2014,11.8
2015,11.8
2016,11.8
