year,all
2016,2.8
2017,3.6
1999,2.9
2000,2.3
2001,3.3
2002,3.1
2003,3.6
2004,3.7
2005,4.3
2006,3.1
2007,2.9
2008,3.0
2009,5
2010,5.1
2011,4.9
2012,4.6
2013,3.6
2014,3.5
2015,3.5
