year,all
2016,3.3
2017,2.9
1999,2.9
2000,2.7
2001,3.7
2002,5.7
2003,6.0
2004,5.4
2005,4.9
2006,4.2
2007,3.7
2008,4.8
2009,7.4
2010,8.7
2011,8.4
2012,8.1
2013,6.6
2014,4.9
2015,3.9
