year,all
1999,11.3
2000,11.3
2001,11.3
2002,12.3
2003,12.3
2004,12.3
2005,13.0
2006,13.0
2007,13.0
2008,14.5
2009,14.5
2010,14.5
2011,15.2
2012,15.2
2013,15.2
2014,14.5
2015,14.5
2016,14.5
