year,all
2016,5.9
2017,5.0
1999,4.4
2000,4.1
2001,5.3
2002,5.5
2003,5.2
2004,4.2
2005,4.3
2006,4.1
2007,4.6
2008,6.1
2009,11.3
2010,14.4
2011,13.1
2012,11
2013,9.8
2014,7.7
2015,6.9
