year,all
1999,6.5
2000,6.5
2001,6.5
2002,6.4
2003,6.4
2004,6.4
2005,7.7
2006,7.7
2007,7.7
2008,9.6
2009,9.6
2010,9.6
2011,10.2
2012,10.2
2013,10.2
2014,9.6
2015,9.6
2016,9.6
