year,all
2016,5.7
2017,5.1
1999,5.1
2000,5.7
2001,5.5
2002,6.8
2003,6.3
2004,6.2
2005,6.9
2006,6.4
2007,6.1
2008,6.5
2009,9.2
2010,10.9
2011,10.5
2012,8.9
2013,8.8
2014,7.7
2015,6.5
