year,all
2016,4.9
2017,4.7
1999,3.8
2000,3.6
2001,5.3
2002,6.2
2003,7.3
2004,7.0
2005,6.6
2006,7
2007,7.1
2008,8.3
2009,13.3
2010,12.2
2011,10.2
2012,9.1
2013,8.6
2014,7.2
2015,5.4
