year,all
2016,3.0
2017,2.4
1999,5.6
2000,4.3
2001,4.6
2002,4.2
2003,4.3
2004,3.4
2005,2.9
2006,2.7
2007,2.9
2008,4.2
2009,7.4
2010,7
2011,7.3
2012,6
2013,4.8
2014,4.4
2015,3.7
