year,all
2016,6.1
2017,6.2
1999,6.3
2000,5.8
2001,6.5
2002,6.4
2003,7.0
2004,8.2
2005,6.2
2006,5.8
2007,5.5
2008,6.6
2009,9.5
2010,9.2
2011,10.4
2012,9
2013,8.6
2014,7.8
2015,6.9
