year,all
1999,12.5
2000,12.5
2001,12.5
2002,12.0
2003,12.0
2004,12.0
2005,10.1
2006,10.1
2007,10.1
2008,14.7
2009,14.7
2010,14.7
2011,14.3
2012,14.3
2013,14.3
2014,11.6
2015,11.6
2016,11.6
