year,region,value
2005,,12.6
2006,,12.3
2007,,12.5
2008,,13.2
2009,,14.3
2010,,15.1
2011,,15.0
2012,,15.0
2013,,14.8
2014,,14.8
2015,,13.5
2016,,12.7
2005,ME,12.59
2006,ME,12.91
2007,ME,12.04
2008,ME,12.32
2009,ME,12.31
2010,ME,12.93
2011,ME,14.13
2012,ME,14.67
2013,ME,13.96
2014,ME,14.13
2015,ME,13.35
2016,ME,12.48
2005,WI,10.19
2006,WI,10.96
2007,WI,10.80
2008,WI,10.40
2009,WI,12.43
2010,WI,13.21
2011,WI,13.07
2012,WI,13.23
2013,WI,13.51
2014,WI,13.18
2015,WI,12.06
2016,WI,11.75
2005,MD,8.24
2006,MD,7.82
2007,MD,8.28
2008,MD,8.06
2009,MD,9.09
2010,MD,9.87
2011,MD,10.06
2012,MD,10.28
2013,MD,10.12
2014,MD,10.11
2015,MD,9.73
2016,MD,9.66
2005,NJ,8.69
2006,NJ,8.69
2007,NJ,8.57
2008,NJ,8.72
2009,NJ,9.37
2010,NJ,10.26
2011,NJ,10.38
2012,NJ,10.76
2013,NJ,11.45
2014,NJ,11.10
2015,NJ,10.77
2016,NJ,10.44
2005,KY,16.82
2006,KY,16.97
2007,KY,17.33
2008,KY,17.34
2009,KY,18.56
2010,KY,18.98
2011,KY,19.14
2012,KY,19.38
2013,KY,18.77
2014,KY,19.12
2015,KY,18.51
2016,KY,18.47
2005,NY,13.80
2006,NY,14.18
2007,NY,13.69
2008,NY,13.61
2009,NY,14.16
2010,NY,14.94
2011,NY,15.97
2012,NY,15.87
2013,NY,15.97
2014,NY,15.93
2015,NY,15.40
2016,NY,14.73
2005,OH,13.05
2006,OH,13.32
2007,OH,13.13
2008,OH,13.36
2009,OH,15.23
2010,OH,15.85
2011,OH,16.43
2012,OH,16.25
2013,OH,15.97
2014,OH,15.84
2015,OH,14.82
2016,OH,14.58
2005,MT,14.37
2006,MT,13.64
2007,MT,14.12
2008,MT,14.82
2009,MT,15.11
2010,MT,14.62
2011,MT,14.79
2012,MT,15.52
2013,MT,16.52
2014,MT,15.43
2015,MT,14.62
2016,MT,13.32
2005,MA,10.33
2006,MA,9.95
2007,MA,9.95
2008,MA,9.99
2009,MA,10.29
2010,MA,11.45
2011,MA,11.60
2012,MA,11.89
2013,MA,11.93
2014,MA,11.63
2015,MA,11.47
2016,MA,10.44
2005,NV,11.09
2006,NV,10.31
2007,NV,10.68
2008,NV,11.31
2009,NV,12.35
2010,NV,14.93
2011,NV,15.90
2012,NV,16.44
2013,NV,15.76
2014,NV,15.24
2015,NV,14.67
2016,NV,13.79
2005,UT,10.16
2006,UT,10.58
2007,UT,9.65
2008,UT,9.56
2009,UT,11.53
2010,UT,13.16
2011,UT,13.53
2012,UT,12.83
2013,UT,12.67
2014,UT,11.73
2015,UT,11.26
2016,UT,10.22
2005,PA,11.90
2006,PA,12.05
2007,PA,11.61
2008,PA,12.14
2009,PA,12.47
2010,PA,13.40
2011,PA,13.76
2012,PA,13.71
2013,PA,13.68
2014,PA,13.60
2015,PA,13.16
2016,PA,12.87
2005,GA,14.41
2006,GA,14.68
2007,GA,14.26
2008,GA,14.66
2009,GA,16.51
2010,GA,17.88
2011,GA,19.14
2012,GA,19.15
2013,GA,18.97
2014,GA,18.30
2015,GA,17.05
2016,GA,15.97
2005,ID,13.85
2006,ID,12.59
2007,ID,12.14
2008,ID,12.61
2009,ID,14.29
2010,ID,15.71
2011,ID,16.45
2012,ID,15.87
2013,ID,15.58
2014,ID,14.85
2015,ID,15.14
2016,ID,14.37
2005,PR,44.87
2006,PR,45.36
2007,PR,45.46
2008,PR,44.80
2009,PR,44.96
2010,PR,45.03
2011,PR,45.58
2012,PR,44.93
2013,PR,45.42
2014,PR,46.21
2015,PR,46.06
2016,PR,43.48
2005,IN,12.22
2006,IN,12.70
2007,IN,12.33
2008,IN,13.08
2009,IN,14.40
2010,IN,15.30
2011,IN,16.00
2012,IN,15.61
2013,IN,15.94
2014,IN,15.24
2015,IN,14.54
2016,IN,14.09
2005,SD,13.64
2006,SD,13.57
2007,SD,13.10
2008,SD,12.45
2009,SD,14.22
2010,SD,14.43
2011,SD,13.92
2012,SD,13.41
2013,SD,14.17
2014,SD,14.17
2015,SD,13.75
2016,SD,13.25
2005,MN,9.18
2006,MN,9.76
2007,MN,9.51
2008,MN,9.64
2009,MN,10.97
2010,MN,11.55
2011,MN,11.91
2012,MN,11.38
2013,MN,11.19
2014,MN,11.46
2015,MN,10.18
2016,MN,9.88
2005,NM,18.51
2006,NM,18.50
2007,NM,18.13
2008,NM,17.14
2009,NM,17.97
2010,NM,20.44
2011,NM,21.54
2012,NM,20.85
2013,NM,21.93
2014,NM,21.32
2015,NM,20.44
2016,NM,19.83
2005,FL,12.79
2006,FL,12.59
2007,FL,12.10
2008,FL,13.23
2009,FL,14.94
2010,FL,16.53
2011,FL,17.01
2012,FL,17.12
2013,FL,17.01
2014,FL,16.50
2015,FL,15.70
2016,FL,14.73
2005,TX,17.60
2006,TX,16.90
2007,TX,16.28
2008,TX,15.85
2009,TX,17.17
2010,TX,17.91
2011,TX,18.46
2012,TX,17.93
2013,TX,17.54
2014,TX,17.17
2015,TX,15.85
2016,TX,15.65
2005,OR,14.10
2006,OR,13.25
2007,OR,12.92
2008,OR,13.62
2009,OR,14.26
2010,OR,15.84
2011,OR,17.46
2012,OR,17.21
2013,OR,16.67
2014,OR,16.55
2015,OR,15.36
2016,OR,13.35
2005,CA,13.31
2006,CA,13.15
2007,CA,12.39
2008,CA,13.28
2009,CA,14.17
2010,CA,15.80
2011,CA,16.56
2012,CA,16.96
2013,CA,16.84
2014,CA,16.45
2015,CA,15.34
2016,CA,14.35
2005,OK,16.50
2006,OK,16.97
2007,OK,15.92
2008,OK,15.94
2009,OK,16.21
2010,OK,16.91
2011,OK,17.21
2012,OK,17.23
2013,OK,16.78
2014,OK,16.59
2015,OK,16.09
2016,OK,16.29
2005,DE,10.41
2006,DE,11.10
2007,DE,10.49
2008,DE,10.00
2009,DE,10.83
2010,DE,11.83
2011,DE,11.88
2012,DE,12.05
2013,DE,12.37
2014,DE,12.48
2015,DE,12.43
2016,DE,11.67
2005,LA,19.76
2006,LA,19.04
2007,LA,18.61
2008,LA,17.35
2009,LA,17.30
2010,LA,18.69
2011,LA,20.43
2012,LA,19.95
2013,LA,19.76
2014,LA,19.84
2015,LA,19.60
2016,LA,20.20
2005,SC,15.57
2006,SC,15.69
2007,SC,15.03
2008,SC,15.66
2009,SC,17.07
2010,SC,18.15
2011,SC,18.88
2012,SC,18.27
2013,SC,18.58
2014,SC,17.99
2015,SC,16.65
2016,SC,15.27
