year,region,value
2005,RI,12.26
2006,RI,11.12
2007,RI,11.99
2008,RI,11.70
2009,RI,11.46
2010,RI,14.05
2011,RI,14.74
2012,RI,13.75
2013,RI,14.29
2014,RI,14.34
2015,RI,13.88
2016,RI,12.79
2005,DC,19.02
2006,DC,19.61
2007,DC,16.43
2008,DC,17.22
2009,DC,18.40
2010,DC,19.16
2011,DC,18.71
2012,DC,18.18
2013,DC,18.89
2014,DC,17.73
2015,DC,17.32
2016,DC,18.58
2005,NC,15.07
2006,NC,14.68
2007,NC,14.32
2008,NC,14.55
2009,NC,16.25
2010,NC,17.49
2011,NC,17.87
2012,NC,18.03
2013,NC,17.89
2014,NC,17.22
2015,NC,16.42
2016,NC,15.39
2005,KS,11.68
2006,KS,12.35
2007,KS,11.16
2008,KS,11.32
2009,KS,13.36
2010,KS,13.60
2011,KS,13.76
2012,KS,13.98
2013,KS,13.99
2014,KS,13.56
2015,KS,13.03
2016,KS,12.12
2005,AL,17.03
2006,AL,16.56
2007,AL,16.86
2008,AL,15.70
2009,AL,17.54
2010,AL,19.03
2011,AL,19.04
2012,AL,18.96
2013,AL,18.73
2014,AL,19.25
2015,AL,18.50
2016,AL,17.09
2005,HI,9.84
2006,HI,9.28
2007,HI,7.97
2008,HI,9.13
2009,HI,10.36
2010,HI,10.72
2011,HI,12.05
2012,HI,11.59
2013,HI,10.85
2014,HI,11.36
2015,HI,10.61
2016,HI,9.33
2005,MS,21.34
2006,MS,21.05
2007,MS,20.61
2008,MS,21.19
2009,MS,21.92
2010,MS,22.39
2011,MS,22.55
2012,MS,24.15
2013,MS,24.05
2014,MS,21.52
2015,MS,22.00
2016,MS,20.84
2005,MI,13.22
2006,MI,13.52
2007,MI,14.00
2008,MI,14.44
2009,MI,16.20
2010,MI,16.76
2011,MI,17.54
2012,MI,17.44
2013,MI,17.05
2014,MI,16.20
2015,MI,15.77
2016,MI,14.96
2005,AK,11.18
2006,AK,10.88
2007,AK,8.94
2008,AK,8.42
2009,AK,9.03
2010,AK,9.94
2011,AK,10.46
2012,AK,10.12
2013,AK,9.33
2014,AK,11.23
2015,AK,10.34
2016,AK,9.89
2005,MO,13.34
2006,MO,13.56
2007,MO,13.01
2008,MO,13.38
2009,MO,14.59
2010,MO,15.27
2011,MO,15.78
2012,MO,16.23
2013,MO,15.89
2014,MO,15.46
2015,MO,14.83
2016,MO,13.99
2005,WY,9.50
2006,WY,9.36
2007,WY,8.66
2008,WY,9.41
2009,WY,9.84
2010,WY,11.17
2011,WY,11.30
2012,WY,12.65
2013,WY,10.90
2014,WY,11.19
2015,WY,11.08
2016,WY,11.32
2005,WV,17.99
2006,WV,17.34
2007,WV,16.91
2008,WV,17.01
2009,WV,17.69
2010,WV,18.14
2011,WV,18.58
2012,WV,17.77
2013,WV,18.48
2014,WV,18.28
2015,WV,17.93
2016,WV,17.93
2005,TN,15.55
2006,TN,16.20
2007,TN,15.91
2008,TN,15.49
2009,TN,17.13
2010,TN,17.68
2011,TN,18.29
2012,TN,17.94
2013,TN,17.79
2014,TN,18.34
2015,TN,16.74
2016,TN,15.77
2005,AZ,14.20
2006,AZ,14.17
2007,AZ,14.16
2008,AZ,14.72
2009,AZ,16.52
2010,AZ,17.44
2011,AZ,18.99
2012,AZ,18.66
2013,AZ,18.63
2014,AZ,18.24
2015,AZ,17.37
2016,AZ,16.36
2005,VA,9.97
2006,VA,9.57
2007,VA,9.95
2008,VA,10.22
2009,VA,10.53
2010,VA,11.08
2011,VA,11.53
2012,VA,11.74
2013,VA,11.72
2014,VA,11.80
2015,VA,11.18
2016,VA,10.99
2005,NH,7.50
2006,NH,8.02
2007,NH,7.08
2008,NH,7.61
2009,NH,8.50
2010,NH,8.29
2011,NH,8.81
2012,NH,10.04
2013,NH,8.70
2014,NH,9.16
2015,NH,8.23
2016,NH,7.30
2005,CT,8.32
2006,CT,8.25
2007,CT,7.94
2008,CT,9.28
2009,CT,9.40
2010,CT,10.10
2011,CT,10.88
2012,CT,10.69
2013,CT,10.73
2014,CT,10.75
2015,CT,10.54
2016,CT,9.77
2005,IL,11.97
2006,IL,12.30
2007,IL,11.93
2008,IL,12.19
2009,IL,13.34
2010,IL,13.81
2011,IL,14.96
2012,IL,14.72
2013,IL,14.67
2014,IL,14.35
2015,IL,13.56
2016,IL,12.97
2005,ND,11.23
2006,ND,11.45
2007,ND,12.09
2008,ND,11.96
2009,ND,11.65
2010,ND,13.03
2011,ND,12.25
2012,ND,11.22
2013,ND,11.80
2014,ND,11.55
2015,ND,10.96
2016,ND,10.72
2005,AR,17.17
2006,AR,17.26
2007,AR,17.87
2008,AR,17.32
2009,AR,18.79
2010,AR,18.84
2011,AR,19.46
2012,AR,19.83
2013,AR,19.68
2014,AR,18.87
2015,AR,19.07
2016,AR,17.22
2005,CO,11.08
2006,CO,11.95
2007,CO,11.97
2008,CO,11.43
2009,CO,12.90
2010,CO,13.37
2011,CO,13.48
2012,CO,13.71
2013,CO,12.96
2014,CO,12.04
2015,CO,11.49
2016,CO,11.05
2005,NE,10.94
2006,NE,11.49
2007,NE,11.21
2008,NE,10.81
2009,NE,12.35
2010,NE,12.94
2011,NE,13.12
2012,NE,12.99
2013,NE,13.19
2014,NE,12.43
2015,NE,12.55
2016,NE,11.42
2005,IA,10.87
2006,IA,10.98
2007,IA,11.03
2008,IA,11.55
2009,IA,11.80
2010,IA,12.56
2011,IA,12.78
2012,IA,12.69
2013,IA,12.67
2014,IA,12.24
2015,IA,12.16
2016,IA,11.76
2005,VT,11.46
2006,VT,10.32
2007,VT,10.09
2008,VT,10.55
2009,VT,11.37
2010,VT,12.71
2011,VT,11.49
2012,VT,11.82
2013,VT,12.29
2014,VT,12.15
2015,VT,10.21
2016,VT,11.89
2005,WA,11.92
2006,WA,11.77
2007,WA,11.44
2008,WA,11.35
2009,WA,12.31
2010,WA,13.43
2011,WA,13.90
2012,WA,13.54
2013,WA,14.15
2014,WA,13.19
2015,WA,12.19
2016,WA,11.26
