year,state,value
0,,19.2
1,,18.0
2,,17.0
3,,16.1
4,,15.7
5,,15.0
6,,15.1
7,,14.8
8,,14.7
2008,ME,4.0
2009,ME,4.9
2010,ME,4.9
2011,ME,4.3
2012,ME,4.1
2013,ME,2.8
2014,ME,4.8
2015,ME,4.0
2016,ME,4.3
2008,WI,5.1
2009,WI,5.9
2010,WI,5.3
2011,WI,5.2
2012,WI,4.5
2013,WI,5.1
2014,WI,4.4
2015,WI,4.6
2016,WI,4.6
2008,MD,45.2
2009,MD,37.1
2010,MD,37.5
2011,MD,30.1
2012,MD,27.6
2013,MD,26.6
2014,MD,25.3
2015,MD,23.7
2016,MD,21.7
2008,NJ,20.5
2009,NJ,19.9
2010,NJ,18.7
2011,NJ,16.1
2012,NJ,17.4
2013,NJ,16.0
2014,NJ,16.5
2015,NJ,15.4
2016,NJ,15.2
2008,KY,9.8
2009,KY,9.6
2010,KY,9.3
2011,KY,8.5
2012,KY,9.9
2013,KY,9.7
2014,KY,9.3
2015,KY,9.2
2016,KY,8.6
2008,NY,29.7
2009,NY,26.7
2010,NY,24.7
2011,NY,23.5
2012,NY,21.8
2013,NY,19.8
2014,NY,20.2
2015,NY,18.6
2016,NY,17.2
2008,OH,11.1
2009,OH,10.9
2010,OH,10.2
2011,OH,10.8
2012,OH,10.5
2013,OH,10.8
2014,OH,9.8
2015,OH,9.6
2016,OH,9.9
2008,MT,2.7
2009,MT,3.9
2010,MT,2.4
2011,MT,2.6
2012,MT,2.4
2013,MT,2.6
2014,MT,1.6
2015,MT,2.2
2016,MT,1.9
2008,MA,13.6
2009,MA,12.5
2010,MA,12.8
2011,MA,12.6
2012,MA,12.4
2013,MA,12.0
2014,MA,11.4
2015,MA,10.5
2016,MA,12.1
2008,NV,18.6
2009,NV,17.2
2010,NV,17.0
2011,NV,17.1
2012,NV,15.9
2013,NV,18.8
2014,NV,18.6
2015,NV,20.0
2016,NV,21.4
2008,UT,6.0
2009,UT,5.7
2010,UT,3.9
2011,UT,5.0
2012,UT,5.5
2013,UT,4.8
2014,UT,5.1
2015,UT,5.4
2016,UT,5.7
2008,PA,17.0
2009,PA,15.8
2010,PA,14.0
2011,PA,12.9
2012,PA,13.2
2013,PA,12.2
2014,PA,11.1
2015,PA,10.8
2016,PA,10.6
2008,GA,40.7
