year,state,value
2009,GA,37.4
2010,GA,33.7
2011,GA,33.9
2012,GA,32.6
2013,GA,28.2
2014,GA,28.2
2015,GA,30.7
2016,GA,31.8
2008,ID,4.2
2009,ID,4.0
2010,ID,3.6
2011,ID,2.8
2012,ID,3.0
2013,ID,1.9
2014,ID,1.7
2015,ID,3.0
2016,ID,3.2
2008,PR,29.1
2009,PR,25.6
2010,PR,25.6
2011,PR,24.2
2012,PR,24.2
2013,PR,21.2
2014,PR,20.7
2015,PR,18.3
2016,PR,17.8
2008,IN,8.8
2009,IN,8.8
2010,IN,9.1
2011,IN,8.7
2012,IN,9.2
2013,IN,8.7
2014,IN,8.4
2015,IN,11.5
2016,IN,8.8
2008,SD,4.4
2009,SD,3.3
2010,SD,4.8
2011,SD,3.1
2012,SD,3.5
2013,SD,4.6
2014,SD,4.0
2015,SD,3.3
2016,SD,5.5
2008,MN,7.7
2009,MN,8.8
2010,MN,7.7
2011,MN,6.7
2012,MN,7.0
2013,MN,6.8
2014,MN,6.7
2015,MN,6.5
2016,MN,6.2
2008,NM,9.4
2009,NM,9.9
2010,NM,8.8
2011,NM,8.0
2012,NM,6.9
2013,NM,8.4
2014,NM,7.7
2015,NM,7.9
2016,NM,7.2
2008,FL,38.4
2009,FL,33.0
2010,FL,29.3
2011,FL,28.5
2012,FL,27.1
2013,FL,26.0
2014,FL,26.7
2015,FL,27.0
2016,FL,28.0
2008,TX,21.6
2009,TX,22.1
2010,TX,22.0
2011,TX,20.8
2012,TX,20.6
2013,TX,20.3
2014,TX,20.3
2015,TX,20.2
2016,TX,19.8
2008,OR,9.1
2009,OR,7.9
2010,OR,7.5
2011,OR,7.4
2012,OR,8.2
2013,OR,6.9
2014,OR,7.1
2015,OR,6.4
2016,OR,6.4
2008,CA,19.2
2009,CA,18.0
2010,CA,17.1
2011,CA,16.2
2012,CA,16.1
2013,CA,14.8
2014,CA,16.0
2015,CA,15.4
2016,CA,15.2
2008,OK,9.6
2009,OK,10.0
2010,OK,9.3
2011,OK,10.1
2012,OK,9.1
2013,OK,10.5
2014,OK,9.5
2015,OK,9.9
2016,OK,9.1
2008,DE,22.1
2009,DE,20.8
2010,DE,17.3
2011,DE,14.8
2012,DE,17.9
2013,DE,14.0
2014,DE,14.6
2015,DE,13.0
2016,DE,14.5
2008,LA,29.5
2009,LA,32.3
2010,LA,29.7
2011,LA,32.0
2012,LA,27.1
2013,LA,29.7
2014,LA,31.5
2015,LA,28.8
2016,LA,29.7
2008,SC,18.9
2009,SC,20.3
2010,SC,20.0
2011,SC,19.0
2012,SC,17.7
2013,SC,17.9
2014,SC,18.7
2015,SC,16.2
2016,SC,18.1
2008,RI,14.0
2009,RI,13.6
2010,RI,13.0
2011,RI,11.2
2012,RI,8.7
2013,RI,8.7
2014,RI,9.8
2015,RI,7.0
2016,RI,7.7
2008,DC,209.4
2009,DC,171.5
2010,DC,154.3
2011,DC,119.8
2012,DC,105.5
2013,DC,87.6
2014,DC,72.5
2015,DC,63.0
2016,DC,55.6
2008,NC,23.3
2009,NC,20.9
2010,NC,18.3
2011,NC,18.3
2012,NC,15.4
2013,NC,15.8
2014,NC,15.9
2015,NC,15.8
2016,NC,16.5
2008,KS,6.2
2009,KS,6.6
2010,KS,5.8
2011,KS,5.8
2012,KS,6.5
2013,KS,6.3
2014,KS,5.5
2015,KS,6.5
2016,KS,5.9
2008,AL,18.5
2009,AL,17.9
2010,AL,17.1
2011,AL,17.1
2012,AL,16.5
2013,AL,15.7
2014,AL,16.6
2015,AL,16.2
2016,AL,13.1
2008,HI,8.0
2009,HI,8.8
2010,HI,9.2
2011,HI,7.2
2012,HI,7.1
2013,HI,8.3
2014,HI,8.3
2015,HI,10.1
2016,HI,6.8
2008,GU,3.0
2009,GU,2.2
2010,GU,3.3
2011,GU,0.0
2012,GU,1.6
2013,GU,0.8
2014,GU,1.6
2015,GU,4.7
2016,GU,3.9
2008,MS,21.7
2009,MS,20.7
2010,MS,18.9
2011,MS,21.6
2012,MS,18.3
2013,MS,19.4
2014,MS,19.4
2015,MS,20.5
2016,MS,17.1
2008,MI,9.4
2009,MI,9.7
2010,MI,9.3
2011,MI,9.4
2012,MI,9.6
2013,MI,9.1
2014,MI,9.4
2015,MI,8.7
2016,MI,8.9
2008,AK,6.8
2009,AK,3.7
2010,AK,6.1
2011,AK,4.1
2012,AK,4.7
2013,AK,3.8
2014,AK,6.3
2015,AK,4.0
2016,AK,6.1
2008,MO,11.1
2009,MO,10.5
2010,MO,11.5
2011,MO,10.5
2012,MO,10.5
2013,MO,9.2
2014,MO,9.2
2015,MO,9.1
2016,MO,10.0
2008,MP,0.0
2009,MP,0.0
2010,MP,0.0
2011,MP,5.0
2012,MP,0.0
2013,MP,0.0
2014,MP,0.0
2015,MP,7.5
2016,MP,0.0
2008,WY,5.2
2009,WY,4.5
2010,WY,4.1
2011,WY,3.2
2012,WY,1.5
2013,WY,3.3
2014,WY,2.1
2015,WY,3.5
2016,WY,4.1
2008,AS,0.0
2009,AS,0.0
2010,AS,0.0
2011,AS,0.0
2012,AS,0.0
2013,AS,0.0
2014,AS,0.0
2015,AS,0.0
2016,AS,0.0
2008,WV,5.4
2009,WV,5.3
2010,WV,4.9
2011,WV,5.7
2012,WV,5.1
2013,WV,4.7
2014,WV,5.6
2015,WV,4.6
2016,WV,4.2
2008,TN,19.3
2009,TN,17.9
2010,TN,16.2
2011,TN,15.8
2012,TN,15.9
2013,TN,14.4
2014,TN,13.8
2015,TN,13.4
2016,TN,12.8
2008,AZ,13.1
2009,AZ,12.1
2010,AZ,11.9
2011,AZ,10.6
2012,AZ,11.6
2013,AZ,12.7
2014,AZ,13.4
2015,AZ,12.3
2016,AZ,13.5
2008,VA,16.7
2009,VA,15.4
2010,VA,15.1
2011,VA,13.5
2012,VA,13.7
2013,VA,13.9
2014,VA,13.0
2015,VA,13.7
2016,VA,12.6
2008,NH,3.9
2009,NH,3.6
2010,NH,4.5
2011,NH,3.5
2012,NH,4.2
2013,NH,3.0
2014,NH,3.6
2015,NH,2.1
2016,NH,3.6
2008,CT,12.2
2009,CT,12.1
2010,CT,13.1
2011,CT,11.8
2012,CT,9.6
2013,CT,10.7
2014,CT,9.5
2015,CT,8.9
2016,CT,8.2
2008,IL,17.7
2009,IL,16.9
2010,IL,15.9
2011,IL,15.4
2012,IL,15.7
2013,IL,15.0
2014,IL,14.2
2015,IL,14.2
2016,IL,12.9
2008,ND,2.4
2009,ND,2.4
2010,ND,2.3
2011,ND,2.1
2012,ND,1.9
2013,ND,3.2
2014,ND,3.4
2015,ND,3.2
2016,ND,7.4
2008,VI,34.4
2009,VI,42.0
2010,VI,34.0
2011,VI,30.6
2012,VI,14.7
2013,VI,29.5
2014,VI,28.4
2015,VI,13.7
2016,VI,13.7
2008,AR,10.5
2009,AR,12.0
2010,AR,9.7
2011,AR,10.0
2012,AR,10.3
2013,AR,10.7
2014,AR,12.4
2015,AR,11.0
2016,AR,12.7
2008,CO,11.2
2009,CO,9.2
2010,CO,10.2
2011,CO,8.7
2012,CO,8.7
2013,CO,7.1
2014,CO,8.5
2015,CO,8.3
2016,CO,9.1
2008,NE,6.7
2009,NE,7.4
2010,NE,7.7
2011,NE,5.3
2012,NE,5.5
2013,NE,5.2
2014,NE,5.7
2015,NE,5.2
2016,NE,4.9
2008,IA,3.9
2009,IA,4.8
2010,IA,4.5
2011,IA,4.5
2012,IA,4.5
2013,IA,4.7
2014,IA,3.6
2015,IA,4.8
2016,IA,5.1
2008,VT,3.6
2009,VT,3.4
2010,VT,3.9
2011,VT,2.2
2012,VT,2.8
2013,VT,2.2
2014,VT,3.5
2015,VT,2.4
2016,VT,1.5
2008,WA,9.7
2009,WA,9.6
2010,WA,9.6
2011,WA,8.5
2012,WA,8.6
2013,WA,7.6
2014,WA,7.4
2015,WA,7.5
2016,WA,7.1
