year,state,value
2012,IN,14.1
2013,IN,14.1
2014,IN,15.2
2015,IN,15.2
2016,IN,15.2
1999,IN,8.5
2000,SD,7.9
2001,SD,7.9
2002,SD,9.2
2003,SD,9.2
2004,SD,9.2
2005,SD,9.7
2006,SD,9.7
2007,SD,9.7
2008,SD,12.3
2009,SD,12.3
2010,SD,12.3
2011,SD,12.6
2012,SD,12.6
2013,SD,12.6
2014,SD,10.6
2015,SD,10.6
2016,SD,10.6
1999,SD,7.9
2000,MN,7.1
2001,MN,7.1
2002,MN,7.2
2003,MN,7.2
2004,MN,7.2
2005,MN,9.5
2006,MN,9.5
2007,MN,9.5
2008,MN,10.3
2009,MN,10.3
2010,MN,10.3
2011,MN,10.8
2012,MN,10.8
2013,MN,10.8
2014,MN,9.7
2015,MN,9.7
2016,MN,9.7
1999,MN,7.1
2000,NM,14.6
2001,NM,14.6
2002,NM,15.8
2003,NM,15.8
2004,NM,15.8
2005,NM,15.0
2006,NM,15.0
2007,NM,15.0
2008,NM,15.4
2009,NM,15.4
2010,NM,15.4
2011,NM,13.2
2012,NM,13.2
2013,NM,13.2
2014,NM,17.6
2015,NM,17.6
2016,NM,17.6
1999,NM,14.6
2000,FL,12.2
2001,FL,12.2
2002,FL,10.8
2003,FL,10.8
2004,FL,10.8
2005,FL,9.0
2006,FL,9.0
2007,FL,9.0
2008,FL,16.1
2009,FL,16.1
2010,FL,16.1
2011,FL,14.1
2012,FL,14.1
2013,FL,14.1
2014,FL,12.0
2015,FL,12.0
2016,FL,12.0
1999,FL,12.2
2000,TX,13.9
2001,TX,13.9
2002,TX,16.4
2003,TX,16.4
2004,TX,16.4
2005,TX,14.8
2006,TX,14.8
2007,TX,14.8
2008,TX,18.8
2009,TX,18.8
2010,TX,18.8
2011,TX,18.0
2012,TX,18.0
2013,TX,18.0
2014,TX,14.3
2015,TX,14.3
2016,TX,14.3
1999,TX,13.9
2000,OR,13.7
2001,OR,13.7
2002,OR,11.9
2003,OR,11.9
2004,OR,11.9
2005,OR,12.4
2006,OR,12.4
2007,OR,12.4
2008,OR,13.7
2009,OR,13.7
2010,OR,13.7
2011,OR,15.2
2012,OR,15.2
2013,OR,15.2
2014,OR,14.6
2015,OR,14.6
2016,OR,14.6
1999,OR,13.7
2000,CA,11.8
2001,CA,11.8
2002,CA,12.4
2003,CA,12.4
2004,CA,12.4
2005,CA,10.2
2006,CA,10.2
2007,CA,10.2
2008,CA,15.9
2009,CA,15.9
2010,CA,15.9
2011,CA,15.0
2012,CA,15.0
2013,CA,15.0
2014,CA,11.8
2015,CA,11.8
2016,CA,11.8
1999,CA,11.8
2000,OK,12.9
2001,OK,12.9
2002,OK,15.2
2003,OK,15.2
2004,OK,15.2
2005,OK,13.0
2006,OK,13.0
2007,OK,13.0
2008,OK,16.4
2009,OK,16.4
2010,OK,16.4
2011,OK,15.5
2012,OK,15.5
2013,OK,15.5
2014,OK,15.2
2015,OK,15.2
2016,OK,15.2
1999,OK,12.9
2000,DE,7.3
2001,DE,7.3
2002,DE,6.8
2003,DE,6.8
2004,DE,6.8
2005,DE,8.6
2006,DE,8.6
2007,DE,8.6
2008,DE,9.7
2009,DE,9.7
2010,DE,9.7
2011,DE,12.9
2012,DE,12.9
