year,all
1999,8.8
2000,8.8
2001,8.8
2002,8.6
2003,8.6
2004,8.6
2005,8.6
2006,8.6
2007,8.6
2008,12.5
2009,12.5
2010,12.5
2011,13.3
2012,13.3
2013,13.3
2014,10.1
2015,10.1
2016,10.1
