year,all
2016,4.2
2017,4.2
1999,3.5
2000,3.9
2001,4.1
2002,4.4
2003,4.5
2004,4.2
2005,4.2
2006,3.9
2007,3.6
2008,4.2
2009,7.1
2010,7.7
2011,7
2012,7
2013,6.7
2014,5.8
2015,5.2
