year,all
1999,7.6
2000,7.6
2001,7.6
2002,8.5
2003,8.5
2004,8.5
2005,8.0
2006,8.0
2007,8.0
2008,9.6
2009,9.6
2010,9.6
2011,9.5
2012,9.5
2013,9.5
2014,9.9
2015,9.9
2016,9.9
