year,all
2016,5.4
2017,4.4
1999,4.1
2000,4.1
2001,4.7
2002,5.1
2003,5.3
2004,5.4
2005,5.2
2006,5.2
2007,4.9
2008,7.9
2009,11.2
2010,11.3
2011,11.1
2012,10.5
2013,9.2
2014,7.7
2015,5.9
