year,all
1999,11.1
2000,11.1
2001,11.1
2002,13.8
2003,13.8
2004,13.8
2005,12.6
2006,12.6
2007,12.6
2008,15.7
2009,15.7
2010,15.7
2011,17.3
2012,17.3
2013,17.3
2014,15.1
2015,15.1
2016,15.1
