year,all
2016,5.2
2017,4.7
1999,4.4
2000,3.9
2001,4.7
2002,6.2
2003,5.6
2004,5.1
2005,4.8
2006,4.2
2007,3.9
2008,5.9
2009,10
2010,10.4
2011,9.5
2012,8.2
2013,8
2014,7
2015,6
