year,all
1999,8.6
2000,8.6
2001,8.6
2002,11.3
2003,11.3
2004,11.3
2005,12.9
2006,12.9
2007,12.9
2008,15.8
2009,15.8
2010,15.8
2011,16.9
2012,16.9
2013,16.9
2014,14.2
2015,14.2
2016,14.2
