year,all
1999,8.4
2000,8.4
2001,8.4
2002,9.0
2003,9.0
2004,9.0
2005,9.0
2006,9.0
2007,9.0
2008,11.8
2009,11.8
2010,11.8
2011,11.6
2012,11.6
2013,11.6
2014,10.7
2015,10.7
2016,10.7
