year,all
2016,5.6
2017,4.8
1999,4.4
2000,4.2
2001,4.7
2002,5.7
2003,5.6
2004,5.6
2005,4.9
2006,4.7
2007,4.3
2008,5.3
2009,7.9
2010,8.6
2011,7.8
2012,7.8
2013,7.5
2014,5.7
2015,5.2
