year,all
2016,3.6
2017,3.4
1999,3.7
2000,3.2
2001,4.4
2002,6.1
2003,5.6
2004,5.3
2005,4.1
2006,2.9
2007,2.6
2008,3.5
2009,7.3
2010,8.2
2011,7
2012,5.8
2013,4.4
2014,3.9
2015,3.6
