year,all
2016,3.9
2017,3.2
1999,5.2
2000,4.9
2001,5
2002,5.8
2003,5.4
2004,5.3
2005,4.0
2006,3.5
2007,3.0
2008,5.4
2009,8.5
2010,9
2011,8.7
2012,7.1
2013,6.5
2014,4.7
2015,4.3
