year,all
2016,6.0
2017,4.3
1999,4.8
2000,4.6
2001,5.3
2002,5.9
2003,5.8
2004,5.8
2005,4.2
2006,4.1
2007,4.0
2008,5.6
2009,11.2
2010,10.5
2011,9.8
2012,8
2013,6.9
2014,7.1
2015,6.1
