year,all
2016,4.9
2017,4.4
1999,4.5
2000,3.9
2001,5.4
2002,6.0
2003,6.8
2004,6.9
2005,6.7
2006,6.5
2007,5.6
2008,6.7
2009,11.8
2010,11
2011,10.5
2012,9.4
2013,7.6
2014,6.4
2015,5.9
