year,all
2016,3.9
2017,3.4
1999,2.8
2000,3.3
2001,3.7
2002,4.4
2003,5.0
2004,4.8
2005,3.9
2006,4
2007,4.6
2008,5.5
2009,7.8
2010,7.3
2011,6.5
2012,5.8
2013,4.9
2014,4
2015,3.8
