year,all
2016,4.5
2017,3.6
1999,3.0
2000,3.2
2001,4.4
2002,5.1
2003,5.1
2004,5.3
2005,5.7
2006,5
2007,4.6
2008,6.0
2009,10
2010,10.6
2011,9
2012,8.3
2013,7.7
2014,6.1
2015,4.8
