year,all
1999,8.5
2000,8.5
2001,8.5
2002,10.1
2003,10.1
2004,10.1
2005,10.2
2006,10.2
2007,10.2
2008,13.0
2009,13.0
2010,13.0
2011,14.1
2012,14.1
2013,14.1
2014,15.2
2015,15.2
2016,15.2
