year,all
1999,11.1
2000,11.1
2001,11.1
2002,11.7
2003,11.7
2004,11.7
2005,12.4
2006,12.4
2007,12.4
2008,13.6
2009,13.6
2010,13.6
2011,11.8
2012,11.8
2013,11.8
2014,12.7
2015,12.7
2016,12.7
