year,all
1999,13.2
2000,13.2
2001,13.2
2002,12.2
2003,12.2
2004,12.2
2005,9.5
2006,9.5
2007,9.5
2008,14.1
2009,14.1
2010,14.1
2011,11.8
2012,11.8
2013,11.8
2014,12.9
2015,12.9
2016,12.9
